repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
95,0.05,10,129,229,1,adapt_62.0008_to_52.5656_q0.75,top3012
95,0.1,10,285,385,1,adapt_37.7842_to_32.0342_q0.75,top5043
95,0.2,10,513,750,1,adapt_27.1593_to_23.0262_q0.75,top10925
96,0.05,10,186,285,1,adapt_62.0008_to_52.5656_q0.75,top3897
96,0.1,10,448,565,1,adapt_32.0342_to_27.1593_q0.6,top7422
96,0.2,10,762,1001,1,adapt_23.0262_to_19.5221_q0.75,top14135
97,0.05,10,203,237,1,adapt_62.0008_to_52.5656_q0.6,top2648
97,0.1,10,425,417,0,adapt_37.7842_to_32.0342_q0.75,top5043
97,0.2,10,688,899,1,adapt_27.1593_to_23.0262_q0.75,top12426
98,0.05,10,163,171,1,adapt_52.5656_to_44.5662_q0.4,top2648
98,0.1,10,304,362,1,adapt_37.7842_to_32.0342_q0.75,top5043
98,0.2,10,670,803,1,adapt_23.0262_to_19.5221_q0.6,top12426
99,0.05,10,171,242,1,adapt_62.0008_to_52.5656_q0.75,top3012
99,0.1,10,374,357,0,adapt_37.7842_to_32.0342_q0.75,top5043
99,0.2,10,644,746,1,adapt_27.1593_to_23.0262_q0.75,top10925
