repeat,rule,cutoff,fdp,correct,total,units,supp_units
45,cutoff1.30103,1.30103,0.7643261476408579,10620.0,64352.0,2878,2054
45,cutoff2,2.0,0.7197682157469492,8941.0,47658.0,2781,1917
46,cutoff0.30103,0.30103,0.8271613387291741,15857.0,137217.0,2965,2393
46,cutoff0.5,0.5,0.814413897056153,14515.0,117543.0,2948,2317
46,cutoff1,1.0,0.7813346200447502,11916.0,78520.0,2911,2157
46,cutoff1.30103,1.30103,0.764511663202144,10726.0,63926.0,2883,2086
46,cutoff2,2.0,0.722768077897971,9064.0,47629.0,2789,1933
47,cutoff0.30103,0.30103,0.8282121226083997,15372.0,138887.0,2958,2365
47,cutoff0.5,0.5,0.8149889907744313,14070.0,119132.0,2935,2297
47,cutoff1,1.0,0.7827236613813926,11506.0,79781.0,2901,2158
47,cutoff1.30103,1.30103,0.7648444473951151,10469.0,65064.0,2875,2089
47,cutoff2,2.0,0.7199001038816947,8866.0,48645.0,2775,1944
48,cutoff0.30103,0.30103,0.8325438975905407,15932.0,140395.0,2977,2380
48,cutoff0.5,0.5,0.8200495897051284,14596.0,120660.0,2959,2306
48,cutoff1,1.0,0.7862145015785874,11895.0,80601.0,2919,2148
48,cutoff1.30103,1.30103,0.7687827977514284,10808.0,65626.0,2896,2087
48,cutoff2,2.0,0.7277982431518853,9146.0,49072.0,2797,1931
49,cutoff0.30103,0.30103,0.8336811472832402,16192.0,143279.0,2973,2388
49,cutoff0.5,0.5,0.8185125113551198,14808.0,123159.0,2945,2318
49,cutoff1,1.0,0.7878032977065834,12077.0,82042.0,2914,2163
49,cutoff1.30103,1.30103,0.7690910161953745,10930.0,66715.0,2884,2099
49,cutoff2,2.0,0.7286146991114121,9153.0,49572.0,2794,1958
50,cutoff0.30103,0.30103,0.8354525305337271,15622.0,140473.0,2969,2376
50,cutoff0.5,0.5,0.8230531109458219,14306.0,120317.0,2949,2290
50,cutoff1,1.0,0.791606581331166,11756.0,80375.0,2918,2137
50,cutoff1.30103,1.30103,0.7746691351071471,10690.0,65354.0,2895,2077
50,cutoff2,2.0,0.728835909825984,9043.0,48445.0,2795,1938
51,cutoff0.30103,0.30103,0.8299410039471651,16387.0,142074.0,2964,2373
51,cutoff0.5,0.5,0.8176150977984314,15010.0,121814.0,2945,2298
51,cutoff1,1.0,0.7857883992438217,12241.0,81358.0,2915,2158
51,cutoff1.30103,1.30103,0.7682107881450979,11070.0,66339.0,2890,2085
51,cutoff2,2.0,0.7287860569686908,9332.0,49435.0,2806,1927
52,cutoff0.30103,0.30103,0.8284814578415461,15783.0,137704.0,2953,2391
52,cutoff0.5,0.5,0.8152978228338985,14393.0,117861.0,2930,2318
52,cutoff1,1.0,0.779889409854325,11743.0,78678.0,2884,2146
52,cutoff1.30103,1.30103,0.7645551122611398,10604.0,64281.0,2865,2070
52,cutoff2,2.0,0.7191218512920892,8939.0,48130.0,2765,1916
53,cutoff0.30103,0.30103,0.8344697616333603,15465.0,138876.0,2968,2346
53,cutoff0.5,0.5,0.8233469495934166,14119.0,119087.0,2954,2272
53,cutoff1,1.0,0.7929214473301881,11498.0,79648.0,2918,2115
53,cutoff1.30103,1.30103,0.7744017811703505,10440.0,64938.0,2885,2042
53,cutoff2,2.0,0.7294083703392648,8802.0,48331.0,2781,1884
54,cutoff0.30103,0.30103,0.830846308303991,15654.0,140186.0,2955,2334
54,cutoff0.5,0.5,0.8184874252724377,14346.0,120399.0,2937,2267
54,cutoff1,1.0,0.7882701728868742,11723.0,80286.0,2909,2121
54,cutoff1.30103,1.30103,0.7696135322446931,10634.0,65144.0,2879,2058
54,cutoff2,2.0,0.7217039670800848,8999.0,48376.0,2771,1903
55,cutoff0.30103,0.30103,0.8256051569148435,15939.0,139723.0,2952,2397
55,cutoff0.5,0.5,0.8122501774836437,14600.0,119878.0,2932,2323
55,cutoff1,1.0,0.7815064749919264,11869.0,80223.0,2898,2153
55,cutoff1.30103,1.30103,0.7632468755211081,10797.0,65308.0,2873,2105
55,cutoff2,2.0,0.7207513792488361,9091.0,48626.0,2778,1950
56,cutoff0.30103,0.30103,0.8318476655322777,15778.0,140445.0,2964,2377
56,cutoff0.5,0.5,0.8189632748560935,14411.0,120386.0,2942,2293
56,cutoff1,1.0,0.7904247128900883,11666.0,80222.0,2919,2128
56,cutoff1.30103,1.30103,0.7740266281253442,10560.0,65042.0,2895,2060
56,cutoff2,2.0,0.7287220165555697,8840.0,48343.0,2796,1917
57,cutoff0.30103,0.30103,0.832211274493838,15843.0,140916.0,2973,2410
57,cutoff0.5,0.5,0.8178771413465573,14440.0,120681.0,2948,2323
57,cutoff1,1.0,0.7866771704165201,11776.0,80656.0,2920,2153
57,cutoff1.30103,1.30103,0.7694480551203512,10659.0,65561.0,2898,2082
57,cutoff2,2.0,0.7268324587907216,8985.0,48899.0,2794,1915
58,cutoff0.30103,0.30103,0.8318198444765188,15358.0,137683.0,2957,2353
58,cutoff0.5,0.5,0.8210429524169283,13981.0,117721.0,2945,2285
58,cutoff1,1.0,0.7903434981662062,11370.0,78352.0,2913,2101
58,cutoff1.30103,1.30103,0.7704420503945121,10280.0,63625.0,2879,2026
58,cutoff2,2.0,0.7255849895526099,8669.0,47285.0,2777,1874
59,cutoff0.30103,0.30103,0.8275964086840488,16152.0,140496.0,2966,2389
59,cutoff0.5,0.5,0.8155646691708884,14815.0,120733.0,2951,2317
59,cutoff1,1.0,0.7821448582383614,12205.0,80736.0,2918,2174
59,cutoff1.30103,1.30103,0.7636368133276141,11025.0,65587.0,2889,2094
59,cutoff2,2.0,0.718784426822608,9314.0,48647.0,2784,1948
60,cutoff0.30103,0.30103,0.8281180726599973,16421.0,138371.0,2960,2373
60,cutoff0.5,0.5,0.8143465547028743,15047.0,118904.0,2939,2308
60,cutoff1,1.0,0.7817768257664707,12240.0,79543.0,2900,2147
60,cutoff1.30103,1.30103,0.7646884627422207,11083.0,64927.0,2878,2082
60,cutoff2,2.0,0.7201543510122623,9316.0,48489.0,2781,1941
61,cutoff0.30103,0.30103,0.8285696702542509,15921.0,140696.0,2959,2393
61,cutoff0.5,0.5,0.8150041139504367,14522.0,120387.0,2938,2329
61,cutoff1,1.0,0.7818275480659713,11887.0,80671.0,2899,2162
61,cutoff1.30103,1.30103,0.763203020628484,10791.0,65828.0,2868,2087
61,cutoff2,2.0,0.718286615452092,9057.0,49013.0,2768,1956
62,cutoff0.30103,0.30103,0.8308862495043575,15689.0,139312.0,2961,2364
62,cutoff0.5,0.5,0.8173660767989944,14353.0,119496.0,2939,2283
62,cutoff1,1.0,0.7882873967561245,11710.0,79782.0,2911,2118
62,cutoff1.30103,1.30103,0.7704166721017947,10622.0,64949.0,2884,2050
62,cutoff2,2.0,0.7249372610813747,8867.0,48197.0,2782,1904
63,cutoff0.30103,0.30103,0.833088173494372,15478.0,140213.0,2963,2358
63,cutoff0.5,0.5,0.8200155684753073,14156.0,120059.0,2942,2270
63,cutoff1,1.0,0.7884120640520149,11585.0,80038.0,2905,2113
63,cutoff1.30103,1.30103,0.7725432274142545,10495.0,64994.0,2882,2040
63,cutoff2,2.0,0.728057256565157,8861.0,48299.0,2781,1900
64,cutoff0.30103,0.30103,0.830458890401218,15891.0,140716.0,2958,2368
64,cutoff0.5,0.5,0.8152533869196954,14553.0,120765.0,2932,2300
64,cutoff1,1.0,0.7847217539150927,11901.0,81021.0,2899,2137
64,cutoff1.30103,1.30103,0.7661153918869591,10786.0,65770.0,2869,2065
64,cutoff2,2.0,0.7193235384892533,9090.0,48915.0,2762,1930
65,cutoff0.30103,0.30103,0.8355931747482023,16142.0,144020.0,2973,2372
65,cutoff0.5,0.5,0.8233362245142546,14861.0,123899.0,2957,2300
65,cutoff1,1.0,0.7925087368058598,12124.0,82970.0,2921,2130
65,cutoff1.30103,1.30103,0.7740423052360863,10990.0,67282.0,2893,2063
65,cutoff2,2.0,0.7293312238039675,9284.0,49903.0,2796,1920
66,cutoff0.30103,0.30103,0.832462415444796,15564.0,139715.0,2969,2406
66,cutoff0.5,0.5,0.8198663757613688,14248.0,119699.0,2954,2344
66,cutoff1,1.0,0.7877821608921568,11708.0,80248.0,2919,2198
66,cutoff1.30103,1.30103,0.7684537399918862,10590.0,65190.0,2888,2127
66,cutoff2,2.0,0.7256205725479468,8913.0,48447.0,2795,1972
67,cutoff0.30103,0.30103,0.830688772826221,16325.0,140418.0,2974,2414
67,cutoff0.5,0.5,0.8181204925185483,14938.0,120295.0,2957,2348
67,cutoff1,1.0,0.7857763805741611,12121.0,80215.0,2925,2198
67,cutoff1.30103,1.30103,0.7677095758783783,10997.0,65291.0,2899,2115
67,cutoff2,2.0,0.7221266103401409,9190.0,48447.0,2796,1964
68,cutoff0.30103,0.30103,0.8324480989679415,15847.0,139287.0,2969,2342
68,cutoff0.5,0.5,0.8191855555656501,14540.0,119685.0,2945,2266
68,cutoff1,1.0,0.7870781032004707,11901.0,79929.0,2908,2112
68,cutoff1.30103,1.30103,0.7682121282234083,10793.0,65019.0,2877,2037
68,cutoff2,2.0,0.72266719580264,9020.0,48120.0,2770,1887
69,cutoff0.30103,0.30103,0.8328892407828327,15584.0,140995.0,2964,2388
69,cutoff0.5,0.5,0.8177883833720292,14246.0,120691.0,2938,2316
69,cutoff1,1.0,0.7875624165037622,11543.0,80064.0,2903,2131
69,cutoff1.30103,1.30103,0.7678794661443888,10429.0,65021.0,2869,2063
69,cutoff2,2.0,0.7276742220115492,8732.0,48095.0,2786,1913
70,cutoff0.30103,0.30103,0.8343176230025651,16009.0,141451.0,2975,2386
70,cutoff0.5,0.5,0.8226454045735857,14663.0,121072.0,2961,2324
70,cutoff1,1.0,0.790254304513841,11930.0,80657.0,2924,2159
70,cutoff1.30103,1.30103,0.7731979217950014,10840.0,65529.0,2903,2093
70,cutoff2,2.0,0.7303659644120245,9107.0,48644.0,2809,1941
71,cutoff0.30103,0.30103,0.8401879012079448,15261.0,140577.0,2978,2355
