repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
5,0.05,0.1,global-dense,global_33.8713,0.0485468112931763,0.0471820011215745,894,1278,523,439,894,897
5,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0417120547734441,0.0394388622172982,943,1347,492,433,838,839
5,0.05,0.1,goco-N,top4337,0.0468966843603354,0.0453706838185511,1096,1340,866,742,838,874
5,0.1,0.5,global-coarse,global_27.1593,0.0911286765648639,0.0908998584354034,1256,2010,760,589,1256,1258
5,0.1,0.5,global-dense,global_25.7999,0.1015417852655332,0.1003437814160563,1368,2215,816,625,1368,1368
5,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.6,0.0962780470292586,0.0975024448958098,1524,2473,820,655,1263,1278
5,0.1,0.5,goco-N,top7261,0.0888480958997921,0.08988923763536,1712,2255,1171,955,1197,1219
5,0.1,0.1,global-coarse,global_27.1593,0.0911286765648639,0.0908998584354034,1256,2010,760,589,1256,1258
5,0.1,0.1,global-dense,global_26.6395,0.0972583788496551,0.0955696949180361,1284,2081,787,601,1284,1292
5,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.5,0.0930739544067492,0.0936714812307229,1490,2408,803,645,1263,1269
5,0.1,0.1,goco-N,top7261,0.0888480958997921,0.08988923763536,1712,2255,1171,955,1197,1219
5,0.2,0.5,global-coarse,global_19.5221,0.1553913820876664,0.1550581754642504,1900,3390,1099,804,1900,1900
5,0.2,0.5,global-dense,global_16.7443,0.1932381440135882,0.195427862206729,2226,4233,1248,889,2226,2232
5,0.2,0.5,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1697759546144037,0.1697061214672158,2215,4148,1154,863,1996,2017
5,0.2,0.5,goco-N,top13828,0.2010500050120405,0.1988920438255315,2759,4296,1693,1262,2256,2269
5,0.2,0.1,global-coarse,global_19.5221,0.1553913820876664,0.1550581754642504,1900,3390,1099,804,1900,1900
5,0.2,0.1,global-dense,global_17.0145,0.1846702122146387,0.1868420054142802,2198,4135,1222,884,2198,2202
5,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1697759546144037,0.1697061214672158,2215,4148,1154,863,1996,2017
5,0.2,0.1,goco-N,top12156,0.1719382762274523,0.1737976302145841,2521,3771,1585,1210,1996,2046
6,0.05,0.5,global-coarse,global_37.7842,0.0311516270482344,0.0311874243450072,685,951,401,346,685,697
6,0.05,0.5,global-dense,global_33.3333,0.0523765930712618,0.05001795203217,868,1282,530,431,868,868
6,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0427654691386516,0.0419671067479124,895,1316,479,413,780,786
6,0.05,0.5,goco-N,top4337,0.0463327948303715,0.0455694384604337,1041,1259,856,736,780,806
6,0.05,0.1,global-coarse,global_37.7842,0.0311516270482344,0.0311874243450072,685,951,401,346,685,697
6,0.05,0.1,global-dense,global_33.8713,0.0501871938867092,0.0479250442816793,838,1234,513,417,838,844
6,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0427654691386516,0.0419671067479124,895,1316,479,413,780,786
6,0.05,0.1,goco-N,top4337,0.0463327948303715,0.0455694384604337,1041,1259,856,736,780,806
6,0.1,0.5,global-coarse,global_27.1593,0.0886941303177167,0.0919707826402139,1192,1932,722,549,1192,1192
6,0.1,0.5,global-dense,global_26.2163,0.0976126368695027,0.0988017445955834,1235,2036,762,570,1235,1246
6,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.5,0.0915946098417826,0.0951639789909932,1398,2339,757,603,1195,1199
6,0.1,0.5,goco-N,top7261,0.1035233479498423,0.0940949782182009,1587,2163,1197,951,1291,1310
6,0.1,0.1,global-coarse,global_27.1593,0.0886941303177167,0.0919707826402139,1192,1932,722,549,1192,1192
6,0.1,0.1,global-dense,global_27.0694,0.0899649973074852,0.0928024746448917,1195,1943,727,551,1195,1196
6,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.4,0.0877012334282124,0.0923196077224513,1361,2264,735,587,1166,1186
6,0.1,0.1,goco-N,top7261,0.1035233479498423,0.0940949782182009,1587,2163,1197,951,1291,1310
6,0.2,0.5,global-coarse,global_19.5221,0.1543284914690407,0.155327704632961,1804,3290,1059,760,1804,1804
6,0.2,0.5,global-dense,global_16.7443,0.1969660881211769,0.1943808351875995,2128,4130,1229,847,2128,2139
6,0.2,0.5,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1710289647527127,0.170366204478656,2092,4018,1111,806,1908,1932
6,0.2,0.5,goco-N,top13828,0.2058390801444113,0.1910035209391153,2605,4134,1679,1246,2159,2167
6,0.2,0.1,global-coarse,global_19.5221,0.1543284914690407,0.155327704632961,1804,3290,1059,760,1804,1804
6,0.2,0.1,global-dense,global_16.7443,0.1969660881211769,0.1943808351875995,2128,4130,1229,847,2128,2139
6,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1710289647527127,0.170366204478656,2092,4018,1111,806,1908,1932
6,0.2,0.1,goco-N,top13828,0.2058390801444113,0.1910035209391153,2605,4134,1679,1246,2159,2167
7,0.05,0.5,global-coarse,global_37.7842,0.0299399953842603,0.0310061088200898,707,956,415,366,707,720
7,0.05,0.5,global-dense,global_33.3333,0.048152421981178,0.0484948503313432,901,1289,532,449,901,901
7,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.043364746006103,0.0437753893026404,956,1357,507,447,819,856
7,0.05,0.5,goco-N,top4337,0.0544541887837525,0.0506207983696135,1018,1278,850,704,988,991
7,0.05,0.1,global-coarse,global_37.7842,0.0299399953842603,0.0310061088200898,707,956,415,366,707,720
7,0.05,0.1,global-dense,global_34.418,0.0440268482190937,0.0451637652763245,859,1220,510,436,859,863
7,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.043364746006103,0.0437753893026404,956,1357,507,447,819,856
7,0.05,0.1,goco-N,top3813,0.046564351103931,0.0438025310655642,907,1117,769,643,875,899
7,0.1,0.5,global-coarse,global_27.1593,0.0847094648306279,0.0887632246636986,1235,1944,730,573,1235,1237
7,0.1,0.5,global-dense,global_26.2163,0.0914871656794112,0.0957952493793726,1290,2055,771,599,1290,1303
7,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.0944754724722414,0.0965724868864679,1504,2473,802,655,1290,1325
7,0.1,0.5,goco-N,top7261,0.0998479370207964,0.095340227535402,1568,2185,1145,900,1356,1383
7,0.1,0.1,global-coarse,global_27.1593,0.0847094648306279,0.0887632246636986,1235,1944,730,573,1235,1237
7,0.1,0.1,global-dense,global_26.6395,0.0892882785855322,0.0935228213071815,1259,2005,756,589,1259,1265
7,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.6,0.0873295381696027,0.0911868772354554,1440,2338,769,629,1240,1247
7,0.1,0.1,goco-N,top7261,0.0998479370207964,0.095340227535402,1568,2185,1145,900,1356,1383
7,0.2,0.5,global-coarse,global_19.5221,0.150036075036075,0.1528496947066529,1848,3298,1068,787,1848,1848
7,0.2,0.5,global-dense,global_16.7443,0.1893642257939511,0.1925632657590865,2155,4127,1220,869,2155,2157
7,0.2,0.5,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1657749753387879,0.1669585551721484,2134,4042,1121,839,1948,1957
7,0.2,0.5,goco-N,top13828,0.1847692712959272,0.1879038881435477,2608,4104,1557,1158,2130,2144
7,0.2,0.1,global-coarse,global_19.5221,0.150036075036075,0.1528496947066529,1848,3298,1068,787,1848,1848
7,0.2,0.1,global-dense,global_16.7443,0.1893642257939511,0.1925632657590865,2155,4127,1220,869,2155,2157
7,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1657749753387879,0.1669585551721484,2134,4042,1121,839,1948,1957
7,0.2,0.1,goco-N,top13828,0.1847692712959272,0.1879038881435477,2608,4104,1557,1158,2130,2144
8,0.05,0.5,global-coarse,global_37.7842,0.0305329897171577,0.0319302110475096,721,974,379,325,721,731
8,0.05,0.5,global-dense,global_33.8713,0.0485111675257071,0.0485778571086627,875,1257,503,416,875,878
8,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0397062594558555,0.0403925852977985,900,1291,452,393,807,821
8,0.05,0.5,goco-N,top4337,0.0484921917070543,0.0485620422231796,1055,1276,828,706,866,875
8,0.05,0.1,global-coarse,global_37.7842,0.0305329897171577,0.0319302110475096,721,974,379,325,721,731
8,0.05,0.1,global-dense,global_34.9736,0.0409952047593404,0.0408868218406133,829,1154,467,391,829,829
8,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0397062594558555,0.0403925852977985,900,1291,452,393,807,821
8,0.05,0.1,goco-N,top3813,0.0426978998384491,0.0418820910527071,930,1119,765,653,829,854
8,0.1,0.5,global-coarse,global_27.1593,0.0901219324563427,0.0925952569021289,1200,1957,711,541,1200,1200
8,0.1,0.5,global-dense,global_26.6395,0.0947153627202092,0.0966439530716781,1216,2006,731,551,1216,1219
8,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.6,0.0943018693745672,0.0960499545215185,1414,2362,751,594,1203,1210
8,0.1,0.5,goco-N,top7261,0.0896395876605892,0.0958470538150633,1616,2108,1128,923,1172,1189
8,0.1,0.1,global-coarse,global_27.1593,0.0901219324563427,0.0925952569021289,1200,1957,711,541,1200,1200
8,0.1,0.1,global-dense,global_27.0694,0.0908542964843449,0.0934808050033168,1203,1966,714,543,1203,1207
8,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.5,0.0915878144472651,0.0934151091141612,1383,2301,737,582,1203,1208
8,0.1,0.1,goco-N,top6383,0.0756988999153781,0.0813219363574813,1459,1851,1047,870,1093,1095
8,0.2,0.5,global-coarse,global_19.5221,0.155677697818247,0.1562679908893825,1771,3279,1030,732,1771,1771
8,0.2,0.5,global-dense,global_16.7443,0.1983298464235459,0.1955702622333384,2062,4127,1197,811,2062,2064
8,0.2,0.5,goco-M,adapt_19.5221_to_16.5512_q0.75,0.171829908558503,0.1719598087058233,2041,4024,1090,784,1868,1873
8,0.2,0.5,goco-N,top13828,0.1811800324966722,0.1888478577648116,2594,3967,1509,1131,1930,1952
8,0.2,0.1,global-coarse,global_19.5221,0.155677697818247,0.1562679908893825,1771,3279,1030,732,1771,1771
8,0.2,0.1,global-dense,global_16.7443,0.1983298464235459,0.1955702622333384,2062,4127,1197,811,2062,2064
8,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.171829908558503,0.1719598087058233,2041,4024,1090,784,1868,1873
8,0.2,0.1,goco-N,top13828,0.1811800324966722,0.1888478577648116,2594,3967,1509,1131,1930,1952
9,0.05,0.5,global-coarse,global_37.7842,0.0316855142703284,0.0316081002988585,696,953,402,347,696,700
9,0.05,0.5,global-dense,global_33.3333,0.0491198040874939,0.049006055818852,865,1259,521,430,865,865
9,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0465388363207426,0.0457573791400805,935,1363,512,440,826,829
9,0.05,0.5,goco-N,top4337,0.0487946450426256,0.0475098802234196,996,1362,748,623,834,859
9,0.05,0.1,global-coarse,global_37.7842,0.0316855142703284,0.0316081002988585,696,953,402,347,696,700
9,0.05,0.1,global-dense,global_33.8713,0.0478766315357591,0.0468121037730042,834,1209,508,418,834,836
9,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0465388363207426,0.0457573791400805,935,1363,512,440,826,829
9,0.05,0.1,goco-N,top3813,0.0430722817839134,0.0412541099273649,888,1206,689,577,791,801
9,0.1,0.5,global-coarse,global_27.1593,0.0924886529733056,0.0904582384440204,1223,1991,742,567,1223,1223
9,0.1,0.5,global-dense,global_25.7999,0.1023360771341385,0.0999991023983914,1296,2151,790,595,1296,1296
9,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.6,0.0979694591891684,0.0967349527776068,1439,2409,786,622,1225,1234
9,0.1,0.5,goco-N,top7261,0.0808049649304127,0.0851023981456188,1568,2247,1007,824,1133,1134
9,0.1,0.1,global-coarse,global_27.1593,0.0924886529733056,0.0904582384440204,1223,1991,742,567,1223,1223
9,0.1,0.1,global-dense,global_26.6395,0.0984444957304408,0.0953327280933915,1239,2043,770,579,1239,1250
9,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.5,0.0950938533733364,0.0938010778058171,1429,2372,779,619,1225,1228
9,0.1,0.1,goco-N,top7261,0.0808049649304127,0.0851023981456188,1568,2247,1007,824,1133,1134
9,0.2,0.5,global-coarse,global_19.5221,0.1540100170875615,0.1544878759279879,1789,3266,1044,747,1789,1791
9,0.2,0.5,global-dense,global_16.7443,0.1920570723478639,0.1943777421534853,2080,4088,1190,816,2080,2081
9,0.2,0.5,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1680921519693733,0.169914438869092,2065,3995,1094,796,1885,1913
9,0.2,0.5,goco-N,top13828,0.1852283679343453,0.1896353156154965,2595,4208,1542,1157,2059,2068
