dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
Sanger,0.1,0.1,GoCo-exp0,0.093,0.15,153.2,325.6,1845.68,0.8233,505.16
Sanger,0.1,0.1,GoCo-exp1,0.0941,0.15,155.3,332.03,1956.35,0.8302,510.22
Sanger,0.1,0.1,GoCo-oracle,0.0923,0.1,158.31,343.72,1991.73,0.8271,504.39
Sanger,0.1,0.1,GoCo-random,0.0952,0.17,155.13,332.4867,1915.5733,0.8263,515.42
Sanger,0.1,0.1,GoCo-score,0.095,0.17,154.71,332.16,1929.88,0.8277,513.87
Sanger,0.1,0.1,GoCo-source,0.0939,0.14,154.95,331.36,1945.02,0.8295,509.43
Sanger,0.1,0.1,GoDag,0.0923,0.12,151.65,319.11,1789.29,0.8214,501.6
Sanger,0.1,0.1,GoDag-cert60,0.0925,0.13,152.14,320.74,1802.04,0.8215,502.99
Sanger,0.1,0.1,GoDag-dense,0.0939,0.15,153.67,326.0,1869.73,0.8251,508.84
Sanger,0.1,0.5,Boger,0.0953,0.2,155.41,332.99,1918.55,0.826,515.86
Sanger,0.1,0.5,GoCo-dense-random1,0.0993,0.45,162.45,360.6,2118.87,0.8297,536.24
Sanger,0.1,0.5,GoCo-dense-source,0.099,0.45,162.86,361.99,2151.14,0.8315,534.79
Sanger,0.1,0.5,GoCo-exp0,0.098,0.42,162.53,358.88,2112.59,0.8298,530.3
Sanger,0.1,0.5,GoCo-exp1,0.0988,0.46,164.35,367.06,2266.29,0.8371,533.69
Sanger,0.1,0.5,GoCo-oracle,0.0971,0.27,170.56,388.69,2443.14,0.8391,530.4
Sanger,0.1,0.5,GoCo-random,0.0992,0.4467,162.4367,359.1767,2110.4267,0.8296,535.8267
Sanger,0.1,0.5,GoCo-score,0.0989,0.46,162.65,361.87,2152.07,0.8316,534.85
Sanger,0.1,0.5,GoCo-source,0.0986,0.46,164.09,365.88,2238.67,0.8358,532.72
Sanger,0.1,0.5,GoDag,0.098,0.36,160.9,353.79,2040.05,0.8265,530.48
Sanger,0.1,0.5,GoDag-cert60,0.0975,0.34,159.97,350.5,2020.82,0.8264,528.01
Sanger,0.1,0.5,GoDag-dense,0.0986,0.36,162.35,358.43,2070.48,0.8269,533.8
Sanger,0.2,0.1,Boger,0.1871,0.0,348.15,1136.01,12927.01,0.912,926.42
Sanger,0.2,0.1,GoCo-dense-random1,0.194,0.13,365.28,1242.32,14695.78,0.9154,956.0
Sanger,0.2,0.1,GoCo-dense-source,0.1937,0.09,365.19,1242.07,14737.37,0.9156,954.37
Sanger,0.2,0.1,GoCo-exp0,0.1897,0.0,357.86,1202.1,14087.5,0.9146,937.93
