dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval,exceed
DRIVE,0,0.05,0.5,GoCo-source,adapt_475_to_450_q0.75,0.0995841755851922,0.0457825663235206,0.2016877070408491,0.0367917141247175,48,97.0,336.0,99,0.7113095238095238,0.0369950739948439,94.0,8,0.0
DRIVE,0,0.05,0.5,GoCo-random1,adapt_475_to_450_q0.4,0.2721449721445381,0.0479624113211265,0.2063345671066908,0.0385095365562869,49,99.0,328.0,104,0.698170731707317,0.0387128964264133,96.0,13,0.0
DRIVE,0,0.05,0.5,GoCo-random2,adapt_475_to_450_q0.4,0.3154010005729495,0.0483816759972104,0.206753986205001,0.0395377038091184,50,99.0,312.0,106,0.6826923076923077,0.0397410636792448,96.0,13,0.0
DRIVE,0,0.05,0.5,GoCo-random3,adapt_475_to_450_q0.6,0.2796519740035137,0.0480409578990873,0.2060127260352884,0.0380586081616758,51,101.0,336.0,104,0.6994047619047619,0.0382619680318022,98.0,18,0.0
DRIVE,0,0.05,0.5,GoCo-score,adapt_475_to_450_q0.5,0.4780791036948985,0.0498121287288336,0.2098283143139052,0.0388038399681172,52,101.0,311.0,107,0.6752411575562701,0.0390071998382436,98.0,18,0.0
DRIVE,0,0.05,0.5,GoCo-oracle,adapt_475_to_450_q0.75,0.0177986651659859,0.0433103789148027,0.1954534530182643,0.0352999874783447,53,102.0,322.0,101,0.6832298136645962,0.0355033473484712,99.0,20,0.0
DRIVE,0,0.05,0.5,GoCo-exp0,adapt_475_to_450_q0.75,0.0276553919663345,0.0438501774237073,0.1970339260904864,0.0357660730969684,47,96.0,310.0,97,0.6903225806451613,0.0359694329670949,93.0,3,0.0
DRIVE,0,0.05,0.5,GoCo-exp1,adapt_475_to_450_q0.75,0.1951453274415214,0.0471385092294184,0.204514530347117,0.0386219528451838,48,98.0,356.0,102,0.7247191011235955,0.0388253127153103,95.0,18,0.0
DRIVE,0,0.05,0.5,GoCo-dense-source,adapt_453.388_to_451.229_q0.25,0.4354342909879375,0.049446128779128,0.209208022053817,0.0388985728079191,52,101.0,327.0,107,0.691131498470948,0.0391019326780455,98.0,2,0.0
DRIVE,0,0.05,0.5,GoCo-dense-random1,global_453.388,0.4284238235881204,0.0493858442303356,0.2090453753342889,0.0387331061084959,52,101.0,307.0,107,0.6710097719869706,0.0389364659786224,98.0,0,0.0
DRIVE,0,0.1,0.1,Boger,global_275,0.0988862211562235,0.0945432908856744,0.2809753370631491,0.0808739344463424,88,235.0,1296.0,188,0.8186728395061729,0.0830931457584669,199.0,0,0.0
DRIVE,0,0.1,0.1,GoDag,global_275,0.0365239249114988,0.092514098778184,0.2769522392831667,0.0808739344463424,88,235.0,1296.0,188,0.8186728395061729,0.0830931457584669,199.0,0,0.0
DRIVE,0,0.1,0.1,GoDag-dense,global_264.097,0.0461439503790694,0.0929615906371534,0.277269287223469,0.0811548336352214,91,244.0,1326.0,189,0.8159879336349924,0.0834506924256722,206.0,0,0.0
DRIVE,0,0.1,0.1,GoDag-cert60,global_275,0.0555111516631224,0.0928009913794558,0.2773703104942857,0.0808739344463424,88,235.0,1296.0,188,0.8186728395061729,0.0830931457584669,199.0,0,0.0
DRIVE,0,0.1,0.1,GoCo-source,adapt_275_to_250_q0.5,0.0767052384878661,0.0935328158918046,0.2781525259972579,0.0813860648111576,93,250.0,1465.0,188,0.8293515358361775,0.0835108572118162,211.0,33,0.0
DRIVE,0,0.1,0.1,GoCo-random1,adapt_275_to_250_q0.275,0.0867715405540916,0.0938225248487621,0.2787104383202085,0.0805798312001898,91,242.0,1336.0,188,0.8188622754491018,0.082956559058842,205.0,19,0.0
DRIVE,0,0.1,0.1,GoCo-random2,adapt_275_to_250_q0.175,0.0868124486176294,0.0938229815436611,0.2787428448973137,0.0816912965923152,88,237.0,1333.0,189,0.822205551387847,0.0839111549231354,200.0,16,0.0
DRIVE,0,0.1,0.1,GoCo-random3,adapt_275_to_250_q0.2,0.0908502045606446,0.0939411815779594,0.2785495394106323,0.0826392219537765,88,240.0,1364.0,190,0.8240469208211144,0.0846859659772336,203.0,23,0.0
DRIVE,0,0.1,0.1,GoCo-score,adapt_275_to_250_q0.3,0.0816110664893999,0.093679148531877,0.2783459961387711,0.0813445764210875,90,248.0,1354.0,189,0.8168389955686853,0.0835772799797336,209.0,28,0.0
DRIVE,0,0.1,0.1,GoCo-oracle,adapt_275_to_250_q0.75,0.0356787484991028,0.091918635957279,0.2751772337457498,0.0796084366758559,98,268.0,1513.0,188,0.8228684732319894,0.0820527165337646,227.0,79,0.0
DRIVE,0,0.1,0.1,GoCo-exp0,adapt_275_to_250_q0.75,0.0616921919472616,0.0930305461115166,0.2777442342111241,0.0806635250858666,90,246.0,1346.0,188,0.8172362555720654,0.0831050674621243,207.0,17,0.0
DRIVE,0,0.1,0.1,GoCo-exp1,adapt_275_to_250_q0.3,0.0905026447978571,0.0939256812675562,0.2788178113708786,0.0813140678389951,94,252.0,1475.0,188,0.8291525423728814,0.0834388602396537,213.0,35,0.0
DRIVE,0,0.1,0.1,GoCo-dense-source,adapt_264.097_to_263.217_q0.6,0.0903640700656096,0.0939285615790111,0.2785085648116521,0.0817163919027035,93,251.0,1433.0,189,0.8248429867411026,0.0839698818460383,211.0,19,0.0
DRIVE,0,0.1,0.1,GoCo-dense-random1,adapt_264.097_to_263.217_q0.35,0.0924768989558061,0.0939838455668811,0.2786499296320493,0.0812726939625702,92,246.0,1351.0,189,0.8179126572908957,0.0835651520945981,208.0,12,0.0
DRIVE,0,0.1,0.5,Boger,global_250,0.4520474204826171,0.0994775279062127,0.2875669557129431,0.0840250901186181,98,273.0,1595.0,192,0.8288401253918495,0.0862374074183977,230.0,0,0.0
DRIVE,0,0.1,0.5,GoDag,global_250,0.2735057267676256,0.0974273295321753,0.2832950531909681,0.0840250901186181,98,273.0,1595.0,192,0.8288401253918495,0.0862374074183977,230.0,0,0.0
DRIVE,0,0.1,0.5,GoDag-dense,global_235.015,0.4725208180749539,0.0997029797238835,0.2857433455289262,0.0874925842098595,100,287.0,1829.0,197,0.8430836522689995,0.0896937945081953,241.0,0,0.0
DRIVE,0,0.1,0.5,GoDag-cert60,global_250,0.3277573425866708,0.0979375490933577,0.2838625841755884,0.0840250901186181,98,273.0,1595.0,192,0.8288401253918495,0.0862374074183977,230.0,0,0.0
