dataset,repeat,n_calls_T,auc_score_T,auc_phat_T,auc_score_E,auc_phat_E
Sanger,5,7471,0.582184493904822,0.6416254278866753,0.5889327330087718,0.6539769796643735
Sanger,6,7607,0.5794438704637589,0.5257684953901302,0.5891293833445566,0.6070392528748747
Sanger,7,7897,0.6000425814824553,0.7075293976003874,0.5867587695313439,0.7173685474696
Sanger,8,7168,0.5825461178704789,0.5098337563330758,0.5887878315548631,0.6907985859035364
Sanger,9,7747,0.6129862863873464,0.6470559902406192,0.5850606525354322,0.6669283429134327
Sanger,10,7292,0.5951157720082084,0.542311738577032,0.5874620973648156,0.603705602249357
Sanger,11,6726,0.5883846917109591,0.5667834691017083,0.5881469126214528,0.7395328670214432
Sanger,12,7263,0.5988272069643301,0.635737716576732,0.5868176049686301,0.6780992896192811
Sanger,13,7046,0.6066934433043337,0.5077184985867222,0.5862605074655672,0.6643666039789117
Sanger,14,7868,0.6235673842461029,0.7252914787325283,0.5828005716856257,0.7530887944490525
Sanger,15,7525,0.5790359797805934,0.6550282640311107,0.589077929728794,0.6689634428001097
Sanger,16,7633,0.5705056348772792,0.6684928177274226,0.5902504181018404,0.6997319883956761
Sanger,17,6777,0.5864131737264598,0.6504937599670304,0.5882857603348691,0.6804815290219848
Sanger,18,7070,0.6066774344532242,0.6336814546417981,0.586337878826212,0.6764475902214031
Sanger,19,7988,0.5882492180538361,0.5785920782723625,0.5883092115638259,0.6342406397598304
Sanger,20,7043,0.5887751161576097,0.5458987310119877,0.5882012246023868,0.6156623965134412
Sanger,21,7037,0.574949919275201,0.6208180635453078,0.5893657715472284,0.7011886509329468
Sanger,22,6825,0.5885862743571663,0.6405135680773315,0.5881650713504363,0.6612673923129593
Sanger,23,7056,0.5785354261789298,0.6757683545494578,0.5892764688686544,0.716838003173791
Sanger,24,7334,0.5952160212637926,0.549985912790945,0.5874347481267221,0.6765021066724132
Sanger,25,6463,0.6078128544171214,0.6296296049208107,0.5863351742808831,0.6803170920823454
Sanger,26,7228,0.5969471819144251,0.6136543494840143,0.5872091472155166,0.6662367862009702
Sanger,27,7650,0.5587903205145996,0.5265096241911346,0.5911713025761044,0.6574818277850315
Sanger,28,7641,0.6326788968875565,0.6826004348835737,0.5829200954303932,0.7019555291884878
Sanger,29,8147,0.5797788647189636,0.6035228046012939,0.5891731444134789,0.6602280202086918
Sanger,30,6529,0.5898749543152508,0.6321945710357447,0.5881054313187932,0.668393036409537
Sanger,31,6834,0.5833821485575305,0.6542889987947752,0.5887673152780925,0.6545984351542864
Sanger,32,7004,0.5866494999874345,0.5770392944924909,0.5885291532519799,0.681317882401484
Sanger,33,7481,0.5839967543477208,0.6040405948747759,0.588648989839733,0.7031106629221765
Sanger,34,7334,0.6161568520110037,0.6734699183354721,0.5848888724322535,0.7346210206897704
Sanger,35,7969,0.5828349887445066,0.5796453507764406,0.5888875534733953,0.6495312340764962
Sanger,36,7017,0.6028740828957324,0.5909302009156859,0.586451935427393,0.649840992877326
Sanger,37,7345,0.5950760798820285,0.6538077139674318,0.587309851097056,0.7131429573287738
Sanger,38,7314,0.6075912883135086,0.6369668637651209,0.5857295188707491,0.7077432436664071
Sanger,39,7379,0.6057061289219094,0.7085589569214618,0.5863969834525279,0.7226137006331359
Sanger,40,7117,0.5740778201629216,0.6635690599413648,0.5897652980749655,0.7154738079502931
Sanger,41,7078,0.557054484891744,0.5349394706728754,0.5914540896409802,0.6771958163869721
Sanger,42,7006,0.5808084590237502,0.5797038105639247,0.5890305602919196,0.6687358005680422
Sanger,43,7333,0.5627014919580892,0.6442708136078698,0.5914835370786385,0.6870604787435198
