repeat,alpha,delta,arm,label,fdp,correct,total,units
44,0.2,0.1,goco-rank,top8653,0.2023084274667221,319,2674,1075
45,0.05,0.5,goco-rank,top1844,0.046603758560280296,180,593,299
45,0.05,0.1,goco-rank,top1844,0.046603758560280296,180,593,299
45,0.1,0.5,goco-rank,top3512,0.08700624102692485,244,1082,515
45,0.1,0.1,goco-rank,top3512,0.08700624102692485,244,1082,515
45,0.2,0.5,goco-rank,top11197,0.1917479573677503,428,3271,1039
45,0.2,0.1,goco-rank,top9843,0.17746388972075472,400,2853,974
46,0.05,0.5,goco-rank,top1844,0.03806097635772604,211,567,277
46,0.05,0.1,goco-rank,top1844,0.03806097635772604,211,567,277
46,0.1,0.5,goco-rank,top3994,0.0935471855427533,309,1279,573
46,0.1,0.1,goco-rank,top3512,0.08235852311939268,300,1122,521
46,0.2,0.5,goco-rank,top9843,0.19386177053550355,426,3114,1055
46,0.2,0.1,goco-rank,top9843,0.19386177053550355,426,3114,1055
47,0.05,0.5,goco-rank,top1844,0.040858023946880005,193,563,283
47,0.05,0.1,goco-rank,top1844,0.040858023946880005,193,563,283
47,0.1,0.5,goco-rank,top3994,0.08567886548046953,272,1300,514
47,0.1,0.1,goco-rank,top3994,0.08567886548046953,272,1300,514
47,0.2,0.5,goco-rank,top11197,0.18704296737019316,440,3408,1015
47,0.2,0.1,goco-rank,top9843,0.17202446096095708,413,3019,942
48,0.05,0.5,goco-rank,top1621,0.034174053749824115,145,435,237
48,0.05,0.1,goco-rank,top1621,0.034174053749824115,145,435,237
48,0.1,0.5,goco-rank,top3512,0.080056576829449,214,1045,480
48,0.1,0.1,goco-rank,top3512,0.080056576829449,214,1045,480
48,0.2,0.5,goco-rank,top11197,0.18853052788166033,439,3430,1025
48,0.2,0.1,goco-rank,top9843,0.1738871890380615,385,3018,944
49,0.05,0.5,goco-rank,top1425,0.0429682003658365,148,457,287
49,0.05,0.1,goco-rank,top1425,0.0429682003658365,148,457,287
49,0.1,0.5,goco-rank,top2714,0.08469935744102058,209,846,518
49,0.1,0.1,goco-rank,top2714,0.08469935744102058,209,846,518
49,0.2,0.5,goco-rank,top8653,0.19592165415483767,338,2762,1058
49,0.2,0.1,goco-rank,top8653,0.19592165415483767,338,2762,1058
